Attribute,Unit,Datatype,Description
Time_start,HH:MM:SS,Time,"Time in UTC+0 when the dredge touched bottom or when the sampling started. Format: HH:MM:SS. If only one moment in time is recorded, use this column; leave out Time_stop or set to NA."
Time_stop,HH:MM:SS,Time,Time in UTC+0 when the dredge was heaved from the bottom or when sampling stopped. Format: HH:MM:SS.
Blade_depth_cm,Centimeters,Double,The depth in cm of the exised strip of sediment by the blade.
Blade_width_cm,Centimeters,Double,The width in cm of the exised strip of sediment by the blade.
isQuantitative,1 or 0,Boolean,"For each sampling track it should be noted if the catch can be used fully quantitatively (isQuantitative = 1) or not (isQuantitative = 0). For example, if there are doubts about if the catch correctly represents the full area sampled track but the data might still be useful to analyze the abundance of species relative to each other, the data can be included while setting the isQuantitative to 0."
Station_objective,"Predefined: Complete, Incomplete",String,"Sometimes a cruise or sampling station has a specific focus on a taxonomic group or a certain taxonomic group is explicitally excluded. For every track specify: If the full catch was IDed and processed (so no focus or exclusions) Station_objective = Complete. If some groups were specifically excluded or focussed on i.e. not the full catch was processed, Station_objective = Incomplete. In this case the excluded taxonomic groups should be noted in the column ""Excluded"" seperated by a "";"" and focussed on taxonomic groups should be noted in the column ""Focus"" seperated by a "";""."
Excluded,String,String,"If Station_objective = Incomplete and certain groups were not IDed and processed, this column should specify which taxa were excluded, seperated by "";"". For example: Polychaeta;Callianassa. With exclusion we mean that there is no informtion at all noted about these taxa. For example, if a taxon was not counted but it was bulk measured the information is still usefull for presence/absence and biomass plots. Therefore, it should not be considered 'excluded'. Set to NA if there were no excluded taxa."
Focus,NA,String,"If Station_objective = Incomplete and some groups were specifically focussed on, this column should be filled with the names of taxonomic groups which were the focus of this specific sampling station, seperated by "";"". For example: Polychaeta;Callianassa.  Set to NA for all entries were no species were specifically focussed on."
Region,"Predefined: BB, BC, CB, CZ, DB, DH, FF, FG, OF, OG, WM",String,"Predefined general region where the sample is taken. If the station was not in these predefined regions, insert NA. BB = Brown Bank, BC = Botney Cut, CB = Cleaver Bank, CZ = Coastal Zone, DB = Dogger Bank, DH = Devil's Hole, FF = Frysian Front, FG = Fladen Grounds, OF = Offshore, OG = Oyster Grounds, WM = wind mill area."
Tow_speed_knots,Knots,Double,The average speed at which the TripleD was towed in knots (one nautical mile per hour).
Comment,Text,String,Any comments regarding the sampling station.
Lat_DD,Decimal degrees in WGS84,Double,Latitude in decimal degrees of the midpoint of the dredge track in WGS84.
source_Lat_DD,NA,String,The original column name where the latitude was taken from. Lat_DD_midpt = the midpoint latitude reported in the input CSV file. Lat_DD_calc = the midpoint latitude calculated from start and stop coordinates reported in the input CSV file.
Lon_DD,Decimal degrees in WGS84,Double,Longitude in decimal degrees of the midpoint of the dredge track in WGS84.
source_Lon_DD,NA,String,The original column name where the longitude was taken from. Lon_DD_midpt = the midpoint longitude reported in the input CSV file. Lon_DD_calc = the midpoint longitude calculated from start and stop coordinates reported in the input CSV file.
Water_depth_m,Meters,Double, Water depth in meters at the sampling track.
source_Water_depth_m,NA,String,The original column name where the water depth was taken from. Water_depth_m_cruise = the water depth as reported in the input CSV files. Water_depth_m_Bathy = the water depth as taken from bathymetry (default NOAA bathymetry with a resolution of 1 minute) using the track midpoints. Water_depth_m_Bathy2 = the water depth as taken from bathymetry (default NOAA bathymetry with a resolution of 1 minute) using the track midpoints calculated with track start and stop coordinates.
Track_length_m,Meters,Double,The length of the TripleD dredge track at the sampling station in meters.
source_Track_length_m,NA,String,The original column name where the track length was taken from. Track_length_m_cruise = the track length as reported in the input CSV files. Track_dist_m_Odometer = the track length calculated from reported odometer ticks. Track_dist_m_GPS = the track length calculated from start and stop coordinates.
Bearings,Angle,Double,"A measure for the general direction of the dredged track. Is reported as an angle in respect to the north (0):  -0 to -180 is the angle westward/left from the north, and +0 to +180 is the angle eastwards/right from the north."
source_Bearings,NA,String,The original column name where the bearing was taken from. Bearing = the bearing as provided by the creator of the original dataset. Bearing_calc = bearing calculated with the geosphere package based on start and stop coordinates.
Sample_area_m2,Squared meters,Double,"The total area sampled by the TripleD in square meters, i.e. the track length times the blade width. No empty cells (i.e. NA) should occur."
Sample_volume_m3,Cubic meters,Double,"The total volume sampled by the TripleD in cubic meters, i.e. the track length times the blade width times the blade width. No empty cells (i.e. NA) should occur."
Density_nr_per_m2,Count per squared meter,Double,"The number of specimens of the taxon under valid_name per squared meter at the corresponding sampling station. This value represents 100% of the catch (so the value is corrected for any reported fraction in the original CSV files) and is corrected for sample size of the track. All NA values are converted to 0 (incomplete_count will be TRUE), so no NA values should occur."
Density_nr_per_m3,Count per cubic meter,Double,"The number of specimens of the taxon under valid_name per cubic meter at the corresponding sampling station. This value represents 100% of the catch (so the value is corrected for any reported fraction in the original CSV files) and is corrected for sample size of the track. All NA values are converted to 0 (incomplete_count will be TRUE), so no NA values should occur."
Biomass_g_per_m2,Grams ash-free dry weight per squared meter,Double,"Grams of ash-free dry weight of the taxon under valid_name per squared meter at the corresponding sampling station. This value represents 100% of the catch (so the value is corrected for any reported fraction in the original CSV files) and is corrected for sample size of the track. All NA values are converted to 0 (incomplete_biomass will be TRUE), so no NA values should occur."
Biomass_g_per_m3,Grams ash-free dry weight per cubic meter,Double,"Grams of ash-free dry weight of the taxon under valid_name per cubic meter at the corresponding sampling station. This value represents 100% of the catch (so the value is corrected for any reported fraction in the original CSV files) and is corrected for sample size of the track. All NA values are converted to 0 (incomplete_biomass will be TRUE), so no NA values should occur."
