Attribute,Unit,Datatype,Description
source_Lat_DD,NA,String,The original column name where the latitude was taken from. Lat_DD_midpt = the midpoint latitude reported in the input CSV file. Lat_DD_calc = the midpoint latitude calculated from start and stop coordinates reported in the input CSV file.
Lon_DD,Decimal degrees in WGS84,Double,Longitude in decimal degrees of the midpoint of the dredge track in WGS84.
source_Lon_DD,NA,String,The original column name where the longitude was taken from. Lon_DD_midpt = the midpoint longitude reported in the input CSV file. Lon_DD_calc = the midpoint longitude calculated from start and stop coordinates reported in the input CSV file.
Water_depth_m,Meters,Double, Water depth in meters at the sampling track.
source_Water_depth_m,NA,String,The original column name where the water depth was taken from. Water_depth_m_cruise = the water depth as reported in the input CSV files. Water_depth_m_Bathy = the water depth as taken from bathymetry (default NOAA bathymetry with a resolution of 1 minute) using the track midpoints. Water_depth_m_Bathy2 = the water depth as taken from bathymetry (default NOAA bathymetry with a resolution of 1 minute) using the track midpoints calculated with track start and stop coordinates.
Track_length_m,Meters,Double,The length of the TripleD dredge track at the sampling station in meters.
source_Track_length_m,NA,String,The original column name where the track length was taken from. Track_length_m_cruise = the track length as reported in the input CSV files. Track_dist_m_Odometer = the track length calculated from reported odometer ticks. Track_dist_m_GPS = the track length calculated from start and stop coordinates.
Bearings,Angle,Double,"A measure for the general direction of the dredged track. Is reported as an angle in respect to the north (0):  -0 to -180 is the angle westward/left from the north, and +0 to +180 is the angle eastwards/right from the north."
source_Bearings,NA,String,The original column name where the bearing was taken from. Bearing = the bearing as provided by the creator of the original dataset. Bearing_calc = bearing calculated with the geosphere package based on start and stop coordinates.
Sample_area_m2,Squared meters,Double,"The total area sampled by the TripleD in square meters, i.e. the track length times the blade width. No empty cells (i.e. NA) should occur."
Sample_volume_m3,Cubic meters,Double,"The total volume sampled by the TripleD in cubic meters, i.e. the track length times the blade width times the blade width. No empty cells (i.e. NA) should occur."
